context	label	split
However, how frataxin interacts with the Fe-S cluster biosynthesis components remains unclear as direct one-to-one interactions with each component were reported (IscS <CITED HERE>, IscU/Isu1 [6,11,16] or ISD11/Isd11 [14,15]).	background	val
"In the study by <CITED HERE>, spikes were sampled from the field at the point of physiological
robinson et al.: genomic regions influencing root traits in barley 11 of 13
maturity, dried, grain threshed by hand, and stored at −20C to preserve grain dormancy before germination testing."	background	train
The drug also reduces catecholamine secretion, thereby reducing stress and leading to a modest (10-20%) reduction in heart rate and blood pressure, which may be particularly beneficial in patients with cardiovascular disease.<CITED HERE> Unlike midazolam, dexmedetomidine does not affect the ventilatory response to carbon dioxide.	background	train
By clustering with lowly aggressive close kin <CITED HERE>, breeding females may decrease the time/energy cost of maintaining territorial boundaries (Festa-Bianchet & Boag 1982; Murie & Harris 1988), which could ultimately lead to increases in net energy income (TA) or higher allocations in somatic or reproductive functions.	background	train
Ophthalmic symptoms are rare manifestations of the intracranial arachnoid cyst, and include unilateral exophthalmos, visual field abnormality, decreased visual acuity and isolated palsies of the third, fourth and sixth cranial nerves <CITED HERE>.	background	train
Recent studies identified Wee1 as a potential molecular target in cancer cells and the selective small molecule Wee1-inhibitor MK-1775 demonstrated promising results in cancer cells with enhanced levels of Wee1 <CITED HERE>.	background	train
These problems combine to make early diagnosis essential and immediate treatment a necessity, even for the youngest patients <CITED HERE>.	background	train
Also, results demonstrated that the molecular weight and G/M ratio were important factors in controlling the antioxidant properties of sodium alginate (<CITED HERE>).	background	train
Recently, the light-induced method, which is based on the changes of surface wettability of certain materials [12], has been developed and provides amore convenient approach for cell harvesting <CITED HERE>.	method	train
Currently, with advances in radiotherapeutic, chemotherapeutic, and surgical techniques, limb-salvage surgery has become an accepted treatment <CITED HERE>.	background	train
…lifetimes, whereas indirect benefits refer to benefits to genetically related recipients; i.e., benefits that increase the inclusive fitness of benefactors but typicaly imply fitness costs that are not compensated during the benefactors’ lifetimes (Hamilton 1964;<CITED HERE>1; West et al. 2007).	background	train
"DOI: 10.7554/eLife.08828 1 of 27
mitochondrial division (Friedman et al., 2011; <CITED HERE>; Murley et al., 2013; Korobova et al., 2014)."	background	train
The remnant of the total plasma membranes after extraction of caveolae is called bulk plasma membranes <CITED HERE> (Fig.	background	train
We used an active contour algorithm <CITED HERE> to segment the organs from 340 coronal slices over the two patients.	method	val
For women with competing care-giving responsibilities, this involves allowing them to be accompanied by their children, providing on-site childcare or offering childcare subsidies <CITED HERE>.	background	train
This change accelerates mitochondrial electron transport in the respiratory chain and produces more influx of electrons to the mitochondrial matrix, which in turn produces more ROS and RNS <CITED HERE>.	background	train
Nevertheless, there is no high-quality evidence for the effectiveness of manipulative therapy for the treatment of CR.(<CITED HERE>) Shi-style cervical manipulation (SCM) is commonly used to treat CR in China.	background	train
Consistent with previous reports (al-Khodairy et al., 1995; <CITED HERE>; Tanaka et al., 1999; Biggins et al., 2001), our data showed that Smt3 and Ubc9 have pivotal functions during mitosis.	result	val
Scp160p has already been implicated in one such network, the SESA (SMY2/EAP1/SCP160/ASC1) network, in the function of a translational activator <CITED HERE>.	background	train
